sys_time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,movement_events
1763026869.609014,-17,125,-121,-5364,-2153,-5520,0
1763026869.609014,31,68,-142,-5301,-2184,-5513,0
1763026869.609014,88,8,-162,-5246,-2256,-5426,0
1763026869.609014,108,-121,-188,-5255,-2335,-5418,0
1763026869.609014,126,-316,-229,-5315,-2406,-5438,0
1763026869.609014,146,-506,-268,-5392,-2427,-5391,0
1763026869.698045,139,-602,-301,-5481,-2415,-5336,0
1763026869.698045,130,-603,-322,-5604,-2418,-5349,0
1763026869.698045,133,-533,-336,-5726,-2438,-5393,0
1763026869.698045,129,-424,-324,-5791,-2451,-5385,0
1763026869.698045,116,-301,-288,-5797,-2432,-5378,0
1763026869.700299,120,-180,-237,-5785,-2399,-5405,0
1763026869.700299,133,-84,-198,-5749,-2367,-5395,0
1763026869.700299,123,-24,-173,-5712,-2336,-5381,0
1763026869.700299,117,-3,-163,-5688,-2300,-5386,0
1763026869.700299,104,-18,-164,-5659,-2270,-5384,0
1763026869.743659,78,-29,-187,-5643,-2257,-5375,0
1763026869.743659,43,-21,-232,-5642,-2258,-5391,0
1763026869.743659,14,37,-278,-5664,-2263,-5395,0
1763026869.743659,0,120,-312,-5646,-2279,-5369,0
1763026869.743659,0,184,-329,-5613,-2293,-5377,0
1763026869.744736,6,202,-339,-5563,-2304,-5381,0
1763026869.744736,27,205,-351,-5513,-2330,-5354,0
1763026869.744736,60,193,-367,-5493,-2343,-5345,0
1763026869.744736,87,151,-378,-5501,-2369,-5329,0
1763026869.744736,107,77,-381,-5536,-2403,-5319,0
1763026869.788501,111,-6,-376,-5600,-2443,-5306,0
1763026869.788501,79,-61,-358,-5640,-2490,-5342,0
1763026869.788501,27,-53,-344,-5729,-2553,-5416,0
1763026869.788501,-22,66,-329,-5830,-2624,-5472,0
1763026869.788501,-85,222,-312,-5858,-2662,-5499,0
1763026869.833001,-173,343,-295,-5814,-2635,-5526,0
1763026869.833001,-261,422,-267,-5750,-2594,-5616,0
1763026869.833001,-331,503,-232,-5692,-2540,-5657,0
1763026869.833001,-388,660,-193,-5611,-2526,-5623,0
1763026869.833001,-458,767,-136,-5516,-2516,-5636,0
1763026869.921376,-491,769,-94,-5444,-2489,-5656,0
1763026869.921376,-503,762,-53,-5396,-2466,-5634,0
1763026869.921376,-514,756,-14,-5350,-2418,-5598,0
1763026869.921376,-511,709,20,-5351,-2352,-5593,0
1763026869.921376,-503,630,47,-5387,-2274,-5578,0
1763026869.923874,-488,548,81,-5434,-2200,-5587,0
1763026869.923874,-473,507,121,-5488,-2133,-5580,0
1763026869.923874,-456,503,178,-5497,-2073,-5561,0
1763026869.923874,-438,510,236,-5502,-2038,-5562,0
1763026869.923874,-412,496,269,-5497,-2027,-5556,0
1763026870.013452,-377,493,284,-5474,-2061,-5538,0
1763026870.013452,-347,482,284,-5440,-2100,-5537,0
1763026870.013452,-316,471,270,-5392,-2149,-5550,0
1763026870.013452,-279,436,253,-5344,-2184,-5558,0
1763026870.013452,-241,386,241,-5281,-2220,-5563,0
1763026870.015879,-193,302,238,-5219,-2258,-5536,0
1763026870.015879,-159,200,246,-5189,-2299,-5546,0
1763026870.015879,-121,88,244,-5222,-2366,-5652,0
